feature,n,rho_outcome,p_outcome,rho_engagement,p_engagement,effect_pos_vs_neg,p_mwu,pos_median,neg_median,q_outcome,q_mwu
F3bandwidth_sma3nz_amean,115,0.054235740960568025,0.5648289494154747,0.03698126199123944,0.6947761585027495,-0.022727272727272707,0.8611915996584872,953.76935,964.35846,0.9093588178825044,0.9868387001320583
spectralFluxV_sma3nz_stddevNorm,115,0.041575808692751515,0.659089129856819,0.11919219152863288,0.20452711960547101,0.02188552188552184,0.8663794396706829,0.8855249999999999,0.91505,0.9548258968562979,0.9868387001320583
slopeV0-500_sma3nz_stddevNorm,115,0.03360009614624242,0.7214771438895402,-0.03736363840769243,0.6917792015874225,-0.021043771043771087,0.8715730426097239,0.392895,0.39142,0.973669102625387,0.9868387001320583
hammarbergIndexUV_sma3nz_amean,115,-0.02570499158728928,0.7850922596624456,-0.019482988838319153,0.8362684064309468,0.02020202020202011,0.8767721885085036,10.039175,9.45762,0.9753415822157204,0.9868387001320583
slopeV500-1500_sma3nz_stddevNorm,115,-0.05818553235081004,0.5367879365037364,-0.11302864786342631,0.22908687925919036,-0.02020202020202022,0.8767721885085036,-1.369395,-1.31897,0.9013986103553309,0.9868387001320583
mfcc3V_sma3nz_stddevNorm,115,0.01081490499709122,0.9086723611554913,-0.027176038169337693,0.7731170172321267,0.02020202020202011,0.8767721885085036,1.01316,0.99923,0.9918140114788189,0.9868387001320583
loudness_sma3_percentile50.0,115,0.009528238647683117,0.9194988402100235,-0.20157549302016814,0.030751912792529534,-0.018097643097643057,0.8861137740795458,0.030915,0.00615,0.9918140114788189,0.9868387001320583
spectralFlux_sma3_amean,115,-0.03704832672502513,0.6942501822336522,-0.1525681901647441,0.10357097077737536,-0.01683501683501687,0.8976197778310854,0.12744,0.10992,0.9654416596686726,0.9868387001320583
slopeV0-500_sma3nz_amean,115,-0.0009672977588596155,0.9918140114788188,-0.017598454073696364,0.8519153170614023,0.014309764309764272,0.9133026214792809,0.060880000000000004,0.06234,0.9918140114788189,0.9868387001320583
F3bandwidth_sma3nz_stddevNorm,115,0.05292810027354913,0.5742631208505475,-0.10254971321253595,0.27545439473985556,-0.01094276094276092,0.9342650564113015,0.34002,0.34593,0.9093588178825044,0.9868387001320583
alphaRatioV_sma3nz_amean,115,0.08768805579629119,0.3514018634587227,0.0011926502513176678,0.9899070030248784,-0.0092592592592593,0.9447642271392597,-9.851305,-8.37236,0.781257550632692,0.9868387001320583
mfcc2V_sma3nz_stddevNorm,115,0.08595498406383806,0.36103916117009877,-0.008485114765099744,0.9282869776763628,0.0092592592592593,0.9447642271392597,-0.87219,-0.76845,0.781257550632692,0.9868387001320583
loudness_sma3_meanRisingSlope,115,0.003761706085944773,0.9681734438528314,-0.026511431540740826,0.7785209199534026,-0.007575757575757569,0.9552730016728859,10.074705,9.81398,0.9918140114788189,0.9868387001320583
hammarbergIndexV_sma3nz_amean,115,-0.102864748564466,0.27397437857643486,-0.03338510283650296,0.7231867266404843,-0.006734006734006703,0.9605304208920601,20.457555,19.73634,0.781257550632692,0.9868387001320583
F2bandwidth_sma3nz_amean,115,-0.0017151588463295811,0.9854855969139349,-0.10158466797101173,0.2800215695321538,-0.0033670033670033517,0.9815749823631007,1007.7060200000001,1004.77551,0.9918140114788189,0.9868387001320583
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,115,0.023882355424218422,0.7999992753005347,0.056136499615456026,0.5512482649983363,-0.0033670033670033517,0.9815749823631007,370.43005500000004,344.26062,0.9753415822157204,0.9868387001320583
HNRdBACF_sma3nz_stddevNorm,115,0.09572646344423269,0.3088315463150795,0.04121471517339757,0.6618675620892904,0.002525252525252597,0.9868387001320583,0.6718299999999999,0.68636,0.781257550632692,0.9868387001320583
