feature,n,rho,p,effect_won_vs_lost,p_mwu,q
logRelF0-H1-H2_sma3nz_stddevNorm,63,0.024625231188499505,0.8480777079832118,-0.05681818181818177,0.7788075125624685,0.9947566639368213
slopeV500-1500_sma3nz_stddevNorm,63,-0.022985205700668056,0.8580871688882431,0.0,1.0,0.9947566639368213
F2frequency_sma3nz_amean,63,0.021966401988530337,0.8643164939708685,0.0,1.0,0.9947566639368213
jitterLocal_sma3nz_amean,63,-0.021097704281489753,0.8696345364568436,-0.025568181818181768,0.9058494312974045,0.9947566639368213
mfcc3V_sma3nz_amean,63,0.019730003596032906,0.8780189793045314,0.022727272727272707,0.9175822844131022,0.9947566639368213
mfcc2V_sma3nz_amean,63,-0.01915847956239467,0.88152661580052,0.051136363636363535,0.8015761696219317,0.9947566639368213
slopeV500-1500_sma3nz_amean,63,0.019108781820339173,0.8818317357855476,-0.005681818181818232,0.9882054537972056,0.9947566639368213
mfcc3_sma3_amean,63,0.019059084078283675,0.882136872873213,0.02840909090909083,0.8941575633270203,0.9947566639368213
F1bandwidth_sma3nz_stddevNorm,63,0.016002672941870518,0.9009338967118805,-0.08522727272727271,0.6681404782905049,0.9947566639368213
F3amplitudeLogRelF0_sma3nz_amean,63,0.014611136164316559,0.9095105067700925,-0.10795454545454541,0.5844034881476432,0.9947566639368213
mfcc2_sma3_stddevNorm,63,-0.011181991962487163,0.9306876532120287,-0.051136363636363646,0.8015761696219317,0.9947566639368213
F1amplitudeLogRelF0_sma3nz_stddevNorm,63,-0.010461374702682434,0.9351445114743836,0.051136363636363535,0.8015761696219317,0.9947566639368213
F1frequency_sma3nz_amean,63,0.0073055680821582794,0.954684030660427,-0.10795454545454541,0.5844034881476432,0.9947566639368213
F2amplitudeLogRelF0_sma3nz_stddevNorm,63,-0.006336462112076058,0.960690224422714,0.14204545454545459,0.46884617099821113,0.9947566639368213
questions,63,0.005699701577437319,0.9646378582040459,-0.13920454545454541,0.47685658104756534,0.9947566639368213
F2amplitudeLogRelF0_sma3nz_amean,63,0.00564069372329908,0.965003725056413,-0.10227272727272729,0.6048781137168378,0.9947566639368213
F2frequency_sma3nz_stddevNorm,63,-0.0054917323087256935,0.965927363456398,-0.125,0.5249748409640569,0.9947566639368213
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,63,-0.0020624562953031876,0.9872005369160006,0.03409090909090917,0.8708247972647152,0.9947566639368213
slopeV0-500_sma3nz_stddevNorm,63,0.0009194082280267223,0.9942940240165357,-0.022727272727272707,0.9175822844131022,0.9947566639368213
mfcc3V_sma3nz_stddevNorm,63,0.0008448616149434744,0.9947566639368213,-0.005681818181818232,0.9882054537972056,0.9947566639368213
