feature,n_reps,rho_advrate,p,effect_hi_vs_lo,p_mwu,hi_median,lo_median,q
loudness_sma3_percentile80.0,13,-0.21978021978021978,0.4706148514721426,-0.33333333333333337,0.36596736596736595,0.5197666666666667,0.653225,0.8328335435623357
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,13,0.21978021978021978,0.4706148514721426,0.0,1.0,35.744596666666666,35.213035,0.8328335435623357
loudness_sma3_percentile50.0,13,-0.21978021978021978,0.4706148514721426,-0.2857142857142857,0.4452214452214452,0.06672833333333333,0.15807,0.8328335435623357
hammarbergIndexV_sma3nz_stddevNorm,13,0.21428571428571427,0.48205445470236835,0.33333333333333326,0.36596736596736595,0.49970896153846156,0.43496749999999995,0.8328335435623357
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,13,0.2087912087912088,0.49362181935688504,0.09523809523809534,0.8356643356643356,9.0487585,8.13928,0.8328335435623357
alphaRatioV_sma3nz_amean,13,0.2087912087912088,0.49362181935688504,0.23809523809523814,0.5337995337995338,-9.968399519230768,-12.94453,0.8328335435623357
spectralFluxUV_sma3nz_amean,13,0.20329670329670327,0.5053147342962486,0.0,1.0,0.10673679487179487,0.11456125,0.8328335435623357
mfcc1_sma3_stddevNorm,13,0.20329670329670327,0.5053147342962486,0.23809523809523814,0.5337995337995338,1.252129326923077,0.794785,0.8328335435623357
slopeV500-1500_sma3nz_amean,13,-0.20329670329670327,0.5053147342962486,-0.33333333333333337,0.36596736596736595,-0.011507916666666666,-0.011082499999999999,0.8328335435623357
VoicedSegmentsPerSec,13,-0.19780219780219782,0.51713091148483,-0.19047619047619047,0.6282051282051282,1.5563984615384616,1.6029875,0.8368118385845432
alphaRatioUV_sma3nz_amean,13,0.1868131868131868,0.541123523509894,0.23809523809523814,0.5337995337995338,-4.1843258974358974,-5.1823,0.8449121682873784
loudness_sma3_pctlrange0-2,13,-0.1868131868131868,0.541123523509894,-0.23809523809523814,0.5337995337995338,0.5187316666666666,0.6521925,0.8449121682873784
alphaRatioV_sma3nz_stddevNorm,13,-0.18131868131868134,0.5532950092839335,-0.19047619047619047,0.6282051282051282,-1.003689903846154,-0.80286,0.8490216521770704
F1bandwidth_sma3nz_amean,13,-0.1758241758241758,0.5655798619595344,-0.1428571428571429,0.7307692307692307,1274.7613866346155,1322.092285,0.8507797127401239
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,13,0.16483516483516483,0.590478988652005,0.04761904761904767,0.9452214452214451,30.024731666666668,29.83234,0.8507797127401239
logRelF0-H1-A3_sma3nz_stddevNorm,13,0.16483516483516483,0.590478988652005,-0.04761904761904767,0.9452214452214451,0.8235335576923077,0.5901966666666666,0.8507797127401239
StddevUnvoicedSegmentLength,13,0.15934065934065936,0.6030877531318972,0.04761904761904767,0.9452214452214451,1.4830910576923078,1.0916679999999999,0.8507797127401239
mfcc4V_sma3nz_amean,13,-0.15384615384615383,0.6157988686488813,0.04761904761904767,0.9452214452214451,-5.775976249999999,-5.902244,0.8507797127401239
slopeUV0-500_sma3nz_amean,13,0.14835164835164835,0.6286094178894163,0.1428571428571428,0.7307692307692307,0.09130509615384616,0.0806175,0.8507797127401239
F0semitoneFrom27.5Hz_sma3nz_amean,13,0.14835164835164835,0.6286094178894163,-0.09523809523809523,0.8356643356643356,31.345641666666666,32.274387499999996,0.8507797127401239
HNRdBACF_sma3nz_stddevNorm,13,0.14285714285714285,0.6415164215860882,-0.04761904761904767,0.9452214452214451,0.6081966666666667,0.7291920000000001,0.8507797127401239
loudness_sma3_amean,13,-0.13736263736263735,0.6545168402947128,-0.19047619047619047,0.6282051282051282,0.3021520833333333,0.33694999999999997,0.8507797127401239
logRelF0-H1-A3_sma3nz_amean,13,-0.13186813186813187,0.6676075762175147,0.09523809523809534,0.8356643356643356,20.863919384615386,20.743196666666666,0.8507797127401239
equivalentSoundLevel_dBp,13,-0.12637362637362637,0.6807854750709491,-0.19047619047619047,0.6282051282051282,-25.345032916666664,-24.6629975,0.8507797127401239
mfcc4_sma3_amean,13,-0.12637362637362637,0.6807854750709491,-0.09523809523809523,0.8356643356643356,-2.7028125,-2.462,0.8507797127401239
F1bandwidth_sma3nz_stddevNorm,13,0.12087912087912088,0.6940473279966858,0.09523809523809534,0.8356643356643356,0.21030509615384618,0.1935066666666667,0.8507797127401239
hammarbergIndexUV_sma3nz_amean,13,-0.11538461538461539,0.7073898735142603,-0.1428571428571429,0.7307692307692307,12.698247564102564,14.77913,0.8507797127401239
spectralFluxV_sma3nz_amean,13,0.11538461538461539,0.7073898735142603,0.0,1.0,0.4107895833333334,0.38380749999999997,0.8507797127401239
MeanUnvoicedSegmentLength,13,0.11538461538461539,0.7073898735142603,0.09523809523809534,0.8356643356643356,0.6340574999999999,0.5013080000000001,0.8507797127401239
loudness_sma3_percentile20.0,13,0.09608354189321236,0.7548504156694621,0.0,1.0,0.006305673076923078,0.0017375000000000001,0.8777079072303637
HNRdBACF_sma3nz_amean,13,-0.0934065934065934,0.7615000227827018,0.0,1.0,5.2965470833333335,5.735844999999999,0.8777079072303637
mfcc2V_sma3nz_stddevNorm,13,-0.0879120879120879,0.775195408889122,0.0,1.0,-0.8824083653846153,-1.0345199999999999,0.8777079072303637
slopeUV500-1500_sma3nz_amean,13,0.0879120879120879,0.775195408889122,0.1428571428571428,0.7307692307692307,0.050765288461538466,0.05251,0.8777079072303637
logRelF0-H1-H2_sma3nz_amean,13,-0.08241758241758242,0.788950927847518,0.19047619047619047,0.6282051282051282,4.777824743589743,4.2389475,0.8777079072303637
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,13,-0.08241758241758242,0.788950927847518,-0.2857142857142857,0.4452214452214452,0.18684166666666668,0.1928325,0.8777079072303637
F3bandwidth_sma3nz_stddevNorm,13,0.07692307692307691,0.8027630076692551,0.09523809523809534,0.8356643356643356,0.34068125,0.35481333333333337,0.8820482429946136
spectralFlux_sma3_amean,13,-0.054945054945054944,0.8585042942308734,-0.1428571428571429,0.7307692307692307,0.15807916666666666,0.1595775,0.9029820252374684
shimmerLocaldB_sma3nz_stddevNorm,13,0.054945054945054944,0.8585042942308734,0.1428571428571428,0.7307692307692307,0.7751170000000001,0.75124,0.9029820252374684
F2bandwidth_sma3nz_stddevNorm,13,0.054945054945054944,0.8585042942308734,0.09523809523809534,0.8356643356643356,0.31075375,0.31235749999999995,0.9029820252374684
mfcc4_sma3_stddevNorm,13,0.049450549450549455,0.8725444288811492,0.2857142857142858,0.4452214452214452,-2.12551,-8.7083675,0.9029820252374684
mfcc2_sma3_amean,13,-0.049450549450549455,0.8725444288811492,0.04761904761904767,0.9452214452214451,-10.914385,-12.7723875,0.9029820252374684
slopeV0-500_sma3nz_stddevNorm,13,-0.027472527472527472,0.929011729160351,0.09523809523809534,0.8356643356643356,0.497626282051282,0.37865,0.9503683206353015
mfcc2_sma3_stddevNorm,13,-0.010989010989010988,0.971577682777073,-0.1428571428571429,0.7307692307692307,-1.6871299999999998,-1.6121824999999999,0.9826183382631761
mfcc1V_sma3nz_amean,13,0.005494505494505494,0.9857869107140622,0.19047619047619047,0.6282051282051282,42.585584653846155,42.7200725,0.9857869107140622
